country,Year,population_total,income_per_person_gdppercapita_ppp_inflation_adjusted (1),energy_use_per_person (1)
Spain,2009,46.9M,37.4k,2740
Spain,2010,47.1M,37k,2690
Ethiopia,1970,29.2M,1000,476
Ethiopia,1971,30.1M,1020,474
Ethiopia,1972,31M,1020,474
Ethiopia,1973,31.9M,998,474
Ethiopia,1974,32.6M,966,472
Ethiopia,1975,33.1M,958,472
Ethiopia,1976,33.6M,951,472
Ethiopia,1977,34M,917,474
Ethiopia,1978,34.5M,952,475
Ethiopia,1979,35.1M,973,475
Ethiopia,1980,36M,940,476
Ethiopia,1981,37M,903,475
Ethiopia,1982,38.1M,910,475
Ethiopia,1983,39.4M,861,474
Ethiopia,1984,40.7M,783,474
Ethiopia,1985,42M,809,475
Ethiopia,1986,43.3M,852,478
Ethiopia,1987,44.8M,832,477
Ethiopia,1988,46.3M,811,478
Ethiopia,1989,47.9M,767,479
Ethiopia,1990,49.6M,688,478
Ethiopia,1991,51.4M,606,473
Ethiopia,1992,53.3M,661,475
Ethiopia,1993,55.2M,659,477
Ethiopia,1994,57M,677,478
Ethiopia,1995,58.9M,737,479
Ethiopia,1996,60.7M,737,478
Ethiopia,1997,62.5M,691,478
Ethiopia,1998,64.3M,706,478
Ethiopia,1999,66.2M,728,478
Ethiopia,2000,68.2M,766,482
Ethiopia,2001,70.1M,755,483
Ethiopia,2002,72.2M,718,484
Ethiopia,2003,74.2M,793,485
Ethiopia,2004,76.3M,862,483
Ethiopia,2005,78.5M,930,484
Ethiopia,2006,80.7M,1010,486
Ethiopia,2007,82.9M,1090,487
Ethiopia,2008,85.2M,1150,487
Ethiopia,2009,87.6M,1260,487
Ethiopia,2010,90.1M,1360,489
Finland,1970,4.63M,18.3k,3940
Finland,1971,4.65M,19.7k,4190
Finland,1972,4.68M,20.9k,4510
Finland,1973,4.7M,21.5k,4380
Finland,1974,4.72M,21.7k,4180
Finland,1975,4.73M,21.6k,4460
Finland,1976,4.75M,21.6k,4520
Finland,1977,4.76M,22k,4660
Finland,1978,4.77M,23.6k,4960
Finland,1979,4.79M,24.8k,5150
Finland,1980,4.81M,25.2k,4930
Finland,1981,4.84M,25.9k,4810
Finland,1982,4.86M,26.5k,4820
Finland,1983,4.89M,27.2k,4910
Finland,1984,4.91M,28.1k,5270
Finland,1985,4.93M,28.7k,5480
Finland,1986,4.95M,29.9k,5960
Finland,1987,4.96M,31.3k,5590
Finland,1988,4.98M,33.1k,5750
Finland,1989,5M,33k,5690
Finland,1990,5.02M,30.9k,5740
Finland,1991,5.04M,29.7k,5380
Finland,1992,5.07M,29.3k,5620
Finland,1993,5.1M,30.4k,5970
Finland,1994,5.12M,31.5k,5660
Finland,1995,5.14M,32.6k,6070
Finland,1996,5.15M,34.5k,6280
Finland,1997,5.16M,36.3k,6320
Finland,1998,5.18M,37.8k,6280
Finland,1999,5.19M,39.9k,6260
Finland,2000,5.2M,40.9k,6410
Finland,2001,5.21M,41.5k,6730
Finland,2002,5.23M,42.2k,7080
Finland,2003,5.24M,43.8k,7130
Finland,2004,5.26M,44.8k,6560
Finland,2005,5.28M,46.5k,7110
Finland,2006,5.3M,48.7k,6970
Finland,2007,5.32M,48.9k,6670
Finland,2008,5.34M,44.7k,6270
Finland,2009,5.37M,45.9k,6830
Finland,2010,5.39M,46.9k,6540
France,1970,51.2M,22.1k,3030
France,1971,51.6M,22.9k,3170
France,1972,52M,24k,3390
France,1973,52.4M,24.6k,3250
France,1974,52.7M,24.3k,3060
France,1975,53M,25.3k,3250
France,1976,53.2M,26.2k,3170
France,1977,53.4M,26.8k,3370
France,1978,53.6M,27.6k,3500
France,1979,53.9M,27.9k,3480
France,1980,54.1M,28.1k,3380
France,1981,54.4M,28.7k,3280
France,1982,54.7M,28.9k,3350
France,1983,55M,29.2k,3450
France,1984,55.3M,29.6k,3600
France,1985,55.5M,30.2k,3630
France,1986,55.8M,30.8k,3700
France,1987,56.1M,32.1k,3670
France,1988,56.4M,33.1k,3800
France,1989,56.7M,33.8k,3850
France,1990,56.9M,34k,4040
France,1991,57.1M,34.4k,3950
France,1992,57.4M,34k,4000
France,1993,57.6M,34.7k,3840
France,1994,57.8M,35.3k,3980
France,1995,58M,35.7k,4190
France,1996,58.2M,36.4k,4050
France,1997,58.4M,37.5k,4150
France,1998,58.7M,38.6k,4120
France,1999,59M,39.9k,4140
France,2000,59.4M,40.4k,4250
France,2001,59.8M,40.5k,4230
France,2002,60.3M,40.6k,4270
France,2003,60.7M,41.4k,4300
France,2004,61.1M,41.8k,4290
France,2005,61.5M,42.5k,4190
France,2006,61.9M,43.3k,4120
France,2007,62.2M,43.1k,4110
France,2008,62.5M,41.7k,3910
France,2009,62.9M,42.3k,4020
France,2010,63.2M,43k,3850
Gabon,1970,601k,12.9k,1780
Gabon,1971,612k,14.1k,1710
Gabon,1972,623k,15.3k,2320
Gabon,1973,635k,20.9k,2480
Gabon,1974,648k,24.4k,2010
Gabon,1975,661k,32.4k,1880
Gabon,1976,676k,27.6k,2010
Gabon,1977,692k,20.5k,2230
Gabon,1978,709k,20.1k,1930
Gabon,1979,726k,20.1k,1890
Gabon,1980,745k,20.6k,2070
Gabon,1981,764k,19.4k,2080
Gabon,1982,784k,19.9k,2080
Gabon,1983,805k,20.9k,1890
Gabon,1984,827k,19.8k,1640
Gabon,1985,850k,19.1k,1600
Gabon,1986,874k,15.4k,1480
Gabon,1987,898k,16.9k,1520
Gabon,1988,924k,17.8k,1370
Gabon,1989,949k,18.2k,1240
Gabon,1990,976k,18.8k,1250
Gabon,1991,1M,17.7k,1300
Gabon,1992,1.03M,17.9k,1340
Gabon,1993,1.06M,18.1k,1160
Gabon,1994,1.08M,18.5k,1240
Gabon,1995,1.11M,18.7k,1250
Gabon,1996,1.14M,19.3k,1240
Gabon,1997,1.17M,19.5k,1290
Gabon,1998,1.2M,17.3k,1220
Gabon,1999,1.23M,16.6k,1200
Gabon,2000,1.26M,16.5k,1250
Gabon,2001,1.29M,16.1k,1480
Gabon,2002,1.32M,16.1k,1700
Gabon,2003,1.35M,15.8k,1920
Gabon,2004,1.39M,15.8k,2160
Gabon,2005,1.43M,14.9k,2360
Gabon,2006,1.47M,15.3k,2560
Gabon,2007,1.52M,14.4k,2720
Gabon,2008,1.57M,13.9k,2880
Gabon,2009,1.62M,14.4k,3130
Gabon,2010,1.68M,14.9k,2430
United Kingdom,1970,55.7M,20.2k,3730
United Kingdom,1971,55.9M,20.9k,3750
United Kingdom,1972,56M,22.2k,3880
United Kingdom,1973,56.1M,21.9k,3730
United Kingdom,1974,56.2M,21.9k,3550
United Kingdom,1975,56.2M,22.4k,3620
United Kingdom,1976,56.2M,22.9k,3700
United Kingdom,1977,56.2M,23.8k,3680
United Kingdom,1978,56.2M,24.4k,3860
United Kingdom,1979,56.2M,24k,3520
United Kingdom,1980,56.2M,23.7k,3420
United Kingdom,1981,56.2M,24.1k,3400
United Kingdom,1982,56.3M,24.9k,3380
United Kingdom,1983,56.3M,25.5k,3370
United Kingdom,1984,56.4M,26.4k,3550
United Kingdom,1985,56.5M,27.4k,3600
United Kingdom,1986,56.7M,28.7k,3620
United Kingdom,1987,56.8M,30k,3640
United Kingdom,1988,57M,30.6k,3630
United Kingdom,1989,57.1M,30.7k,3600
United Kingdom,1990,57.3M,30.2k,3710
United Kingdom,1991,57.4M,30.3k,3680
United Kingdom,1992,57.6M,30.9k,3710
United Kingdom,1993,57.8M,32.1k,3730
United Kingdom,1994,57.9M,32.8k,3730
United Kingdom,1995,58.1M,33.5k,3880
United Kingdom,1996,58.3M,34.7k,3760
United Kingdom,1997,58.5M,35.9k,3790
United Kingdom,1998,58.7M,37k,3780
United Kingdom,1999,58.9M,38.1k,3790
United Kingdom,2000,59.1M,39.1k,3780
United Kingdom,2001,59.3M,39.8k,3690
United Kingdom,2002,59.6M,41k,3730
United Kingdom,2003,59.9M,41.7k,3690
United Kingdom,2004,60.3M,42.7k,3690
United Kingdom,2005,60.8M,43.6k,3600
United Kingdom,2006,61.5M,44.3k,3440
United Kingdom,2007,62.1M,43.8k,3360
United Kingdom,2008,62.8M,41.7k,3150
United Kingdom,2009,63.5M,42.1k,3230
United Kingdom,2010,64M,42.5k,2970
Ghana,1970,8.97M,2940,334
Ghana,1971,9.23M,2780,343
Ghana,1972,9.49M,2790,354
Ghana,1973,9.75M,2920,362
Ghana,1974,9.99M,2520,366
Ghana,1975,10.2M,2400,359
Ghana,1976,10.4M,2420,374
Ghana,1977,10.6M,2590,366
Ghana,1978,10.8M,2510,362
Ghana,1979,11.1M,2410,364
Ghana,1980,11.3M,2390,371
Ghana,1981,11.7M,2200,371
Ghana,1982,12M,1980,305
Ghana,1983,12.4M,2050,316
Ghana,1984,12.8M,2100,340
Ghana,1985,13.2M,2130,344
Ghana,1986,13.6M,2190,362
Ghana,1987,13.9M,2260,344
Ghana,1988,14.4M,2320,361
Ghana,1989,14.8M,2340,358
Ghana,1990,15.2M,2400,360
Ghana,1991,15.7M,2420,362
Ghana,1992,16.1M,2470,369
Ghana,1993,16.6M,2480,373
Ghana,1994,17M,2510,380
Ghana,1995,17.5M,2560,383
Ghana,1996,17.9M,2600,391
Ghana,1997,18.4M,2660,403
Ghana,1998,18.8M,2710,408
Ghana,1999,19.3M,2740,326
Ghana,2000,19.8M,2780,320
Ghana,2001,20.2M,2830,310
Ghana,2002,20.8M,2910,286
Ghana,2003,21.3M,3000,279
Ghana,2004,21.8M,3090,270
Ghana,2005,22.4M,3210,280
Ghana,2006,23M,3260,273
Ghana,2007,23.6M,3470,266
Ghana,2008,24.2M,3550,281
Ghana,2009,24.8M,3730,299
Ghana,2010,25.4M,4160,311
Greece,1970,8.72M,13.7k,984
Greece,1971,8.77M,15.4k,1130
Greece,1972,8.84M,16.1k,1320
Greece,1973,8.92M,15.6k,1260
Greece,1974,9.01M,16.6k,1300
Greece,1975,9.13M,17.5k,1390
Greece,1976,9.25M,18k,1470
Greece,1977,9.39M,19.2k,1530
Greece,1978,9.52M,19.8k,1600
Greece,1979,9.63M,20.2k,1550
Greece,1980,9.72M,20.2k,1510
Greece,1981,9.8M,20.3k,1540
Greece,1982,9.86M,20.5k,1600
Greece,1983,9.92M,21.1k,1650
Greece,1984,9.97M,21.9k,1770
Greece,1985,10M,22.4k,1670
Greece,1986,10.1M,22.4k,1790
Greece,1987,10.1M,23.6k,1900
Greece,1988,10.2M,24.6k,2090
Greece,1989,10.2M,24.6k,2100
Greece,1990,10.3M,25k,2090
Greece,1991,10.4M,25k,2130
Greece,1992,10.5M,24.5k,2090
Greece,1993,10.6M,24.8k,2140
Greece,1994,10.7M,25.2k,2150
Greece,1995,10.8M,25.9k,2210
Greece,1996,10.9M,26.9k,2280
Greece,1997,11M,27.8k,2390
Greece,1998,11M,28.5k,2390
Greece,1999,11.1M,29.5k,2510
Greece,2000,11.1M,30.6k,2580
Greece,2001,11.2M,31.7k,2600
Greece,2002,11.2M,33.4k,2670
Greece,2003,11.2M,35k,2710
Greece,2004,11.2M,35.1k,2750
Greece,2005,11.2M,37k,2740
Greece,2006,11.1M,38.1k,2730
Greece,2007,11M,37.9k,2750
Greece,2008,11M,36.2k,2650
Greece,2009,10.9M,34.1k,2480
Greece,2010,10.8M,31.1k,2410
Guatemala,1970,5.78M,5390,489
Guatemala,1971,5.94M,5650,493
Guatemala,1972,6.1M,5880,503
Guatemala,1973,6.27M,6090,505
Guatemala,1974,6.43M,6060,543
Guatemala,1975,6.6M,6340,568
Guatemala,1976,6.77M,6660,589
Guatemala,1977,6.93M,6810,590
Guatemala,1978,7.11M,6950,611
Guatemala,1979,7.28M,7030,550
Guatemala,1980,7.47M,6870,522
Guatemala,1981,7.65M,6470,499
Guatemala,1982,7.85M,6110,469
Guatemala,1983,8.04M,5970,482
Guatemala,1984,8.24M,5760,478
Guatemala,1985,8.44M,5580,447
Guatemala,1986,8.64M,5530,459
Guatemala,1987,8.84M,5500,464
Guatemala,1988,9.05M,5550,469
Guatemala,1989,9.26M,5560,487
Guatemala,1990,9.48M,5610,488
Guatemala,1991,9.71M,5730,501
Guatemala,1992,9.94M,5810,487
Guatemala,1993,10.2M,5890,501
Guatemala,1994,10.4M,6030,517
Guatemala,1995,10.6M,6060,519
Guatemala,1996,10.9M,6180,530
Guatemala,1997,11.1M,6340,563
Guatemala,1998,11.4M,6430,604
Guatemala,1999,11.7M,6500,607
Guatemala,2000,11.9M,6490,606
Guatemala,2001,12.2M,6590,597
Guatemala,2002,12.5M,6610,607
Guatemala,2003,12.8M,6680,612
Guatemala,2004,13.1M,6750,602
Guatemala,2005,13.4M,6970,600
Guatemala,2006,13.7M,7270,632
Guatemala,2007,14M,7360,594
Guatemala,2008,14.3M,7260,669
Guatemala,2009,14.6M,7340,715
Guatemala,2010,14.9M,7500,751
"Hong Kong, China",1970,3.91M,10.8k,742
"Hong Kong, China",1971,3.97M,11.7k,761
"Hong Kong, China",1972,4.04M,12.9k,748
"Hong Kong, China",1973,4.11M,12.8k,797
"Hong Kong, China",1974,4.21M,12.5k,813
"Hong Kong, China",1975,4.33M,14k,894
"Hong Kong, China",1976,4.46M,15.1k,998
"Hong Kong, China",1977,4.61M,15.8k,1080
"Hong Kong, China",1978,4.75M,17.1k,919
"Hong Kong, China",1979,4.87M,18.3k,914
"Hong Kong, China",1980,4.97M,19.5k,995
"Hong Kong, China",1981,5.06M,19.7k,1080
"Hong Kong, China",1982,5.13M,20.5k,1150
"Hong Kong, China",1983,5.21M,22.2k,1160
"Hong Kong, China",1984,5.29M,21.9k,1210
"Hong Kong, China",1985,5.37M,23.9k,1370
"Hong Kong, China",1986,5.46M,26.5k,1470
"Hong Kong, China",1987,5.56M,28.1k,1650
"Hong Kong, China",1988,5.65M,28.3k,1660
"Hong Kong, China",1989,5.73M,28.8k,1510
"Hong Kong, China",1990,5.8M,30.2k,1550
"Hong Kong, China",1991,5.86M,31.8k,1830
"Hong Kong, China",1992,5.93M,33.2k,1780
"Hong Kong, China",1993,6M,34.4k,1760
"Hong Kong, China",1994,6.08M,34.5k,1720
"Hong Kong, China",1995,6.19M,34.5k,1620
"Hong Kong, China",1996,6.3M,35.9k,1550
"Hong Kong, China",1997,6.42M,33.5k,2000
"Hong Kong, China",1998,6.52M,34k,2430
"Hong Kong, China",1999,6.61M,36.3k,2040
"Hong Kong, China",2000,6.66M,36.3k,2110
"Hong Kong, China",2001,6.7M,36.7k,1950
"Hong Kong, China",2002,6.72M,37.9k,2010
"Hong Kong, China",2003,6.74M,40.9k,1870
"Hong Kong, China",2004,6.77M,43.7k,1840
"Hong Kong, China",2005,6.8M,46.5k,1930
"Hong Kong, China",2006,6.84M,49k,2060
"Hong Kong, China",2007,6.88M,49.8k,2010
"Hong Kong, China",2008,6.92M,48.5k,2110
"Hong Kong, China",2009,6.97M,51.4k,1950
"Hong Kong, China",2010,7.01M,53.5k,2090
Honduras,1970,2.8M,2940,496
Honduras,1971,2.88M,3010,493
Honduras,1972,2.97M,3140,497
Honduras,1973,3.06M,3480,490
Honduras,1974,3.15M,3450,488
Honduras,1975,3.25M,3710,493
Honduras,1976,3.35M,3980,506
Honduras,1977,3.46M,4250,503
Honduras,1978,3.57M,4310,504
Honduras,1979,3.68M,4210,509
Honduras,1980,3.79M,4160,490
Honduras,1981,3.91M,3980,515
Honduras,1982,4.03M,3840,490
Honduras,1983,4.15M,3880,486
Honduras,1984,4.28M,3920,467
Honduras,1985,4.41M,3830,466
Honduras,1986,4.54M,3950,477
Honduras,1987,4.68M,4020,485
Honduras,1988,4.81M,4090,491
Honduras,1989,4.96M,3990,480
Honduras,1990,5.1M,3750,471
Honduras,1991,5.24M,3870,477
Honduras,1992,5.39M,4000,474
Honduras,1993,5.55M,3900,479
Honduras,1994,5.71M,4030,495
Honduras,1995,5.87M,3990,483
Honduras,1996,6.05M,4050,512
Honduras,1997,6.22M,4080,535
Honduras,1998,6.4M,3940,457
Honduras,1999,6.57M,4110,455
Honduras,2000,6.75M,4110,478
Honduras,2001,6.93M,4160,484
Honduras,2002,7.11M,4240,513
Honduras,2003,7.28M,4390,540
Honduras,2004,7.46M,4550,551
Honduras,2005,7.63M,4730,523
Honduras,2006,7.81M,4910,601
Honduras,2007,7.98M,5010,583
Honduras,2008,8.15M,4790,547
Honduras,2009,8.32M,4870,549
Honduras,2010,8.48M,4960,597
Haiti,1970,4.76M,2420,316
Haiti,1971,4.84M,2450,320
Haiti,1972,4.92M,2560,323
Haiti,1973,5M,2710,331
Haiti,1974,5.09M,2730,337
Haiti,1975,5.19M,2960,350
Haiti,1976,5.29M,2970,354
Haiti,1977,5.4M,3100,361
Haiti,1978,5.52M,3330,367
Haiti,1979,5.64M,3560,369
Haiti,1980,5.77M,3450,300
Haiti,1981,5.91M,3310,304
Haiti,1982,6.05M,3330,306
Haiti,1983,6.19M,3320,301
Haiti,1984,6.34M,3320,297
Haiti,1985,6.48M,3290,226
Haiti,1986,6.62M,3250,228
Haiti,1987,6.76M,3330,231
Haiti,1988,6.9M,3220,231
Haiti,1989,7.04M,3230,222
Haiti,1990,7.18M,3230,217
Haiti,1991,7.32M,3000,221
Haiti,1992,7.46M,2780,210
Haiti,1993,7.6M,2400,189
Haiti,1994,7.74M,2590,219
Haiti,1995,7.89M,2650,246
Haiti,1996,8.03M,2670,255
Haiti,1997,8.17M,2680,251
Haiti,1998,8.32M,2710,250
Haiti,1999,8.46M,2690,238
Haiti,2000,8.61M,2630,239
Haiti,2001,8.75M,2610,264
Haiti,2002,8.9M,2650,249
Haiti,2003,9.05M,2580,253
Haiti,2004,9.2M,2630,370
Haiti,2005,9.34M,2630,375
Haiti,2006,9.5M,2740,387
Haiti,2007,9.65M,2760,386
Haiti,2008,9.8M,2890,385
Haiti,2009,9.95M,2740,382
Haiti,2010,10.1M,2860,389
Hungary,1970,10.4M,11.4k,1840
Hungary,1971,10.4M,11.7k,1880
Hungary,1972,10.5M,12.5k,2040
Hungary,1973,10.5M,13k,2100
Hungary,1974,10.5M,13.4k,2170
Hungary,1975,10.6M,13.5k,2310
Hungary,1976,10.6M,14.5k,2430
Hungary,1977,10.7M,15k,2670
Hungary,1978,10.7M,15.2k,2640
Hungary,1979,10.8M,15.6k,2650
Hungary,1980,10.7M,15.9k,2630
Hungary,1981,10.7M,16.7k,2630
Hungary,1982,10.7M,16.8k,2590
Hungary,1983,10.6M,17.5k,2700
Hungary,1984,10.6M,17.3k,2790
Hungary,1985,10.5M,17.9k,2790
Hungary,1986,10.5M,18.4k,2890
Hungary,1987,10.4M,19.2k,2860
Hungary,1988,10.4M,19.1k,2870
Hungary,1989,10.4M,18.1k,2770
Hungary,1990,10.4M,16.5k,2640
Hungary,1991,10.4M,16k,2420
Hungary,1992,10.4M,15.9k,2480
Hungary,1993,10.4M,16.4k,2410
Hungary,1994,10.3M,16.7k,2500
Hungary,1995,10.3M,16.7k,2570
Hungary,1996,10.3M,17.3k,2530
Hungary,1997,10.3M,18k,2500
Hungary,1998,10.2M,18.6k,2490
Hungary,1999,10.2M,19.5k,2450
Hungary,2000,10.2M,20.3k,2510
Hungary,2001,10.2M,21.3k,2520
Hungary,2002,10.1M,22.3k,2580
Hungary,2003,10.1M,23.4k,2580
Hungary,2004,10.1M,24.4k,2730
Hungary,2005,10.1M,25.5k,2710
Hungary,2006,10M,25.6k,2660
Hungary,2007,9.99M,25.9k,2640
Hungary,2008,9.96M,24.2k,2480
Hungary,2009,9.93M,24.5k,2570
Hungary,2010,9.9M,25.1k,2500
Indonesia,1970,118M,2230,297
Indonesia,1971,121M,2420,301
Indonesia,1972,124M,2710,307
Indonesia,1973,127M,2780,310
Indonesia,1974,131M,2720,315
Indonesia,1975,134M,2890,321
Indonesia,1976,137M,3040,348
Indonesia,1977,141M,3110,364
Indonesia,1978,144M,3200,372
Indonesia,1979,147M,3390,378
Indonesia,1980,151M,3550,388
Indonesia,1981,154M,3340,389
Indonesia,1982,158M,3400,387
Indonesia,1983,162M,3560,394
Indonesia,1984,165M,3570,399
Indonesia,1985,168M,3710,431
Indonesia,1986,172M,3820,437
Indonesia,1987,175M,3960,440
Indonesia,1988,178M,4240,457
Indonesia,1989,181M,4530,544
Indonesia,1990,185M,4760,561
Indonesia,1991,188M,4990,575
Indonesia,1992,191M,5220,621
Indonesia,1993,194M,5530,612
Indonesia,1994,197M,5890,664
Indonesia,1995,200M,6260,678
Indonesia,1996,203M,6460,691
Indonesia,1997,206M,5530,666
Indonesia,1998,209M,5500,688
Indonesia,1999,212M,5690,736
Indonesia,2000,214M,5820,743
Indonesia,2001,217M,6000,760
Indonesia,2002,220M,6200,752
Indonesia,2003,223M,6420,791
Indonesia,2004,226M,6700,794
Indonesia,2005,229M,6970,802
Indonesia,2006,232M,7320,788
Indonesia,2007,235M,7660,793
Indonesia,2008,239M,7910,846
Indonesia,2009,242M,8290,877
Indonesia,2010,245M,8680,834
India,1970,568M,1430,267
India,1971,581M,1380,267
India,1972,595M,1400,269
India,1973,609M,1370,273
India,1974,623M,1440,276
India,1975,638M,1420,280
India,1976,652M,1480,282
India,1977,667M,1510,279
India,1978,683M,1390,286
India,1979,699M,1440,286
India,1980,715M,1480,294
India,1981,732M,1480,298
India,1982,749M,1550,301
India,1983,767M,1560,306
India,1984,784M,1570,315
India,1985,802M,1590,319
India,1986,820M,1610,324
India,1987,837M,1720,334
India,1988,855M,1770,343
India,1989,873M,1810,350
India,1990,891M,1790,357
India,1991,909M,1850,363
India,1992,927M,1900,365
India,1993,946M,1990,371
India,1994,964M,2100,385
India,1995,982M,2220,389
India,1996,1B,2260,397
India,1997,1.02B,2360,399
India,1998,1.04B,2520,415
India,1999,1.06B,2570,417
India,2000,1.08B,2650,416
India,2001,1.09B,2710,421
India,2002,1.11B,2870,424
India,2003,1.13B,3050,440
India,2004,1.15B,3240,450
India,2005,1.17B,3450,466
India,2006,1.18B,3660,485
India,2007,1.2B,3710,502
India,2008,1.22B,3950,545
India,2009,1.23B,4230,562
India,2010,1.25B,4390,578
Ireland,1970,2.94M,12.6k,2250
Ireland,1971,2.99M,13.3k,2190
Ireland,1972,3.03M,13.8k,2240
Ireland,1973,3.09M,14.2k,2270
Ireland,1974,3.14M,14.9k,2080
Ireland,1975,3.19M,15k,2110
Ireland,1976,3.24M,16.1k,2200
Ireland,1977,3.29M,17.1k,2180
Ireland,1978,3.34M,17.5k,2530
Ireland,1979,3.38M,18k,2410
Ireland,1980,3.42M,18.4k,2390
Ireland,1981,3.45M,18.8k,2360
Ireland,1982,3.48M,18.7k,2340
Ireland,1983,3.5M,19.5k,2350
Ireland,1984,3.51M,20.2k,2440
Ireland,1985,3.52M,20.2k,2500
Ireland,1986,3.52M,21.3k,2610
Ireland,1987,3.51M,22.6k,2590
Ireland,1988,3.51M,24.2k,2660
Ireland,1989,3.51M,26.4k,2820
Ireland,1990,3.52M,26.8k,2830
Ireland,1991,3.53M,27.5k,2780
Ireland,1992,3.55M,28.1k,2810
Ireland,1993,3.57M,29.6k,2940
Ireland,1994,3.59M,32.3k,2950
Ireland,1995,3.62M,34.4k,3120
Ireland,1996,3.65M,37.8k,3260
Ireland,1997,3.69M,40.7k,3420
Ireland,1998,3.73M,44.4k,3540
Ireland,1999,3.78M,48k,3630
Ireland,2000,3.84M,49.7k,3710
Ireland,2001,3.91M,51.8k,3660
Ireland,2002,3.98M,52.5k,3520
Ireland,2003,4.06M,55k,3560
Ireland,2004,4.14M,56.9k,3500
Ireland,2005,4.23M,58.2k,3420
Ireland,2006,4.32M,59.5k,3420
Ireland,2007,4.42M,55.7k,3290
Ireland,2008,4.49M,52.3k,3150
Ireland,2009,4.55M,53k,3150
Ireland,2010,4.59M,52.9k,2870
Iran,1970,29.3M,9430,567
Iran,1971,30.1M,10.8k,541
Iran,1972,30.9M,11.5k,668
Iran,1973,31.8M,12.3k,772
Iran,1974,32.7M,12.6k,814
Iran,1975,33.7M,14.5k,898
Iran,1976,34.8M,14k,975
Iran,1977,36M,12.1k,914
Iran,1978,37.2M,10.7k,1000
Iran,1979,38.7M,8930,985
Iran,1980,40.2M,8370,1070
Iran,1981,41.9M,9380,1200
Iran,1982,43.6M,10.3k,981
Iran,1983,45.5M,10.2k,1100
Iran,1984,47.3M,10.1k,1140
Iran,1985,49.3M,8900,1100
Iran,1986,51.2M,8570,1080
Iran,1987,53.1M,7940,1060
Iran,1988,54.8M,8090,1210
Iran,1989,56.4M,8650,1230
Iran,1990,57.7M,9500,1330
Iran,1991,58.8M,9590,1380
Iran,1992,59.7M,9530,1460
Iran,1993,60.6M,9250,1600
Iran,1994,61.4M,9330,1650
Iran,1995,62.3M,9680,1570
Iran,1996,63.1M,9600,1730
Iran,1997,64M,9680,1740
Iran,1998,64.8M,9640,1950
Iran,1999,65.6M,10.1k,1870
Iran,2000,66.4M,10k,2010
Iran,2001,67.3M,10.6k,2050
Iran,2002,68.1M,11.4k,2090
Iran,2003,69M,11.8k,2260
Iran,2004,69.8M,12k,2480
Iran,2005,70.6M,12.5k,2560
Iran,2006,71.3M,13.3k,2680
Iran,2007,72.1M,13.2k,2840
Iran,2008,72.9M,13.2k,2800
Iran,2009,73.8M,13.8k,2770
Iran,2010,74.6M,14k,2790
Iraq,1970,10.3M,6540,392
Iraq,1971,10.6M,6090,404
Iraq,1972,11M,6880,425
Iraq,1973,11.3M,7010,447
Iraq,1974,11.7M,7910,521
Iraq,1975,12.1M,9210,625
Iraq,1976,12.5M,9150,625
Iraq,1977,12.9M,10.4k,691
Iraq,1978,13.3M,12.4k,799
Iraq,1979,13.7M,11.7k,712
Iraq,1980,14M,9240,685
Iraq,1981,14.4M,8860,691
Iraq,1982,14.8M,7830,811
Iraq,1983,15.2M,7580,836
Iraq,1984,15.6M,7210,946
Iraq,1985,15.9M,6890,1000
Iraq,1986,16.3M,6960,972
Iraq,1987,16.6M,5330,1150
Iraq,1988,17M,4710,1240
Iraq,1989,17.4M,4510,1150
Iraq,1990,17.9M,1750,892
Iraq,1991,18.4M,2350,1290
Iraq,1992,19M,2450,1630
Iraq,1993,19.5M,2430,1790
Iraq,1994,20.1M,2300,1670
Iraq,1995,20.8M,2690,1620
Iraq,1996,21.4M,2690,1870
Iraq,1997,22.1M,3210,1290
Iraq,1998,22.8M,3630,967
Iraq,1999,23.5M,4200,1100
Iraq,2000,24.2M,4770,1200
Iraq,2001,24.9M,5330,1110
Iraq,2002,25.6M,4350,989
Iraq,2003,26.3M,6970,992
Iraq,2004,26.9M,7410,982
Iraq,2005,27.4M,8170,909
Iraq,2006,27.9M,8320,909
Iraq,2007,28.4M,8630,968
Iraq,2008,29M,8740,1140
Iraq,2009,29.7M,9060,1260
Iraq,2010,30.7M,9440,1340
Iceland,1970,207k,19.3k,4380
Iceland,1971,210k,20.2k,4400
Iceland,1972,213k,21.3k,5270
Iceland,1973,216k,22.3k,5130
Iceland,1974,218k,22.1k,5070
Iceland,1975,220k,23.3k,5090
Iceland,1976,222k,25.2k,5600
Iceland,1977,224k,26.5k,5710
Iceland,1978,226k,27.5k,6520
Iceland,1979,228k,28.8k,6560
Iceland,1980,231k,29.8k,7180
Iceland,1981,233k,30k,7080
Iceland,1982,236k,29k,7250
Iceland,1983,239k,29.9k,7530
Iceland,1984,242k,30.7k,7330
Iceland,1985,244k,32.5k,7610
Iceland,1986,247k,35k,7860
Iceland,1987,250k,34.3k,7880
Iceland,1988,252k,34k,7980
Iceland,1989,255k,34.2k,8910
Iceland,1990,258k,33.7k,8050
Iceland,1991,260k,32.2k,7760
Iceland,1992,263k,32.3k,8250
Iceland,1993,265k,33.1k,8290
Iceland,1994,268k,33k,8260
Iceland,1995,270k,34.3k,8850
Iceland,1996,273k,36k,8580
Iceland,1997,275k,38.1k,9040
Iceland,1998,278k,39.2k,10k
